uid,is_nsfw,has_smile,number_of_faces,has_face
14377513,0,False,0,False
14577463,0,False,1,True
14586332,0,True,1,True
14810512,0,True,1,True
15049362,0,False,1,True
15754435,0,True,1,True
15842580,0,False,0,False
16017780,0,True,1,True
16587471,0,True,1,True
16181961,0,False,0,False
17974739,0,True,1,True
16241967,0,True,1,True
17050971,0,True,1,True
17133408,0,False,1,True
17455584,0,False,0,False
18609993,0,True,1,True
18786203,0,True,1,True
19022701,0,False,0,False
19073220,0,True,1,True
19581364,1,True,1,True
20369295,0,False,0,False
19835257,0,False,0,False
21006731,0,False,0,False
21062173,0,False,0,False
21320671,0,True,1,True
22359919,0,False,0,False
22375566,0,False,0,False
22537120,0,True,1,True
67588086,0,True,1,True
67868209,0,True,1,True
71607447,0,False,0,False
72782453,0,False,0,False
76334285,0,False,0,False
77005363,0,True,1,True
77614137,0,True,1,True
132091637,0,True,1,True
107937350,0,False,1,True
109131186,0,False,0,False
110332519,1,False,1,True
112648334,1,False,1,True
113122647,0,True,1,True
113721240,0,False,0,False
114499851,0,True,1,True
112018999,0,True,1,True
114287623,0,True,1,True
146718190,0,False,0,False
116732795,0,True,1,True
140435102,0,False,2,True
117712145,0,False,1,True
118426104,0,True,1,True
118804181,0,False,0,False
120638926,0,False,0,False
120902761,0,True,1,True
121051391,0,False,1,True
121430315,0,True,1,True
122361295,0,False,0,False
123509343,0,False,0,False
124637387,0,False,1,True
125611928,0,False,1,True
125634279,0,True,1,True
127278773,0,False,1,True
131459632,0,False,1,True
131560321,0,False,1,True
132905373,0,True,1,True
133832897,0,False,1,True
134010936,0,False,1,True
134537588,0,True,1,True
135241968,0,False,2,True
135339535,0,False,0,False
135900147,0,False,0,False
136104716,0,False,0,False
136332708,0,False,1,True
136690329,0,True,1,True
137192051,0,False,0,False
137572462,0,True,1,True
137981184,0,False,0,False
140514782,0,False,0,False
140707917,0,False,0,False
141012534,0,False,1,True
141306867,0,True,1,True
141946086,0,True,1,True
142030238,0,True,1,True
152137026,0,True,1,True
142872738,0,False,1,True
145943681,0,False,0,False
143102837,0,True,1,True
143408866,0,False,0,False
144210424,0,False,0,False
144905477,0,True,1,True
145379808,0,False,0,False
145627272,0,False,0,False
145856005,0,False,0,False
146001434,0,False,0,False
146427876,0,False,0,False
146589417,0,True,1,True
150989557,0,False,0,False
181040717,0,False,0,False
151250821,1,True,1,True
147964801,0,False,1,True
152238340,0,False,1,True
156719663,0,False,0,False
157817729,0,False,0,False
159180340,0,False,0,False
161523552,1,False,1,True
161893723,0,True,1,True
169455021,0,False,2,True
169674169,0,False,0,False
163277443,0,False,0,False
166822640,0,False,3,True
178778701,0,False,1,True
179501298,0,False,1,True
181134987,0,True,1,True
181465645,0,False,0,False
182507726,0,False,0,False
184503019,0,False,0,False
187566924,0,False,0,False
183113118,0,False,0,False
188600885,0,False,0,False
188854185,1,False,1,True
195281300,0,False,1,True
196154314,0,False,0,False
199367114,0,False,0,False
196472884,0,False,1,True
196775754,0,False,0,False
200055462,1,False,1,True
200772975,0,False,0,False
201296023,0,True,1,True
202971554,0,False,1,True
203701893,1,False,1,True
210015688,0,False,0,False
214221372,0,False,1,True
210424974,0,True,1,True
210984913,0,True,1,True
211425793,0,False,1,True
138591816,1,True,1,True
139072766,1,True,1,True
139180226,0,True,1,True
136872839,0,True,1,True
140093593,0,False,0,False
145491658,0,False,0,False
150250789,0,False,0,False
150307645,0,True,1,True
150738197,0,False,2,True
150777328,0,False,2,True
151659439,0,True,1,True
155069376,0,False,0,False
7733695,0,False,0,False
155286306,0,True,1,True
155489949,0,True,1,True
162433648,0,False,0,False
162866536,0,False,1,True
158978557,0,True,1,True
166498731,0,True,1,True
169049211,0,False,0,False
171246207,1,True,1,True
171882258,0,True,1,True
171969177,1,False,1,True
176075007,0,False,0,False
170299210,0,True,1,True
182914201,0,False,0,False
183361598,0,True,1,True
183631046,1,False,1,True
184245373,0,True,1,True
184358939,0,False,1,True
189656876,0,True,1,True
189871020,0,True,1,True
191279739,0,True,1,True
191594179,0,False,1,True
194703486,0,False,0,False
197103299,0,True,1,True
194235828,0,False,0,False
197979623,0,True,1,True
198307745,0,True,1,True
198898646,0,False,1,True
204405405,0,True,1,True
205022322,0,True,1,True
205329596,0,False,0,False
205775938,0,False,0,False
205848109,0,True,1,True
206644281,0,False,0,False
211986104,0,True,1,True
209570992,0,True,1,True
215142124,0,True,1,True
215612567,0,True,1,True
215998818,0,False,0,False
219037524,0,False,0,False
219500828,0,False,0,False
220062937,0,False,1,True
238745901,0,True,1,True
222211810,0,False,1,True
226720236,0,True,1,True
227824699,0,False,1,True
228756635,0,False,0,False
229625232,0,False,0,False
230010617,0,False,0,False
269234127,0,True,1,True
270679261,0,False,0,False
272644240,0,False,0,False
275234755,0,False,0,False
275693185,0,False,0,False
301427131,0,True,1,True
294162990,0,False,0,False
296806628,1,False,0,False
296817131,0,True,1,True
299277673,0,True,1,True
345214876,0,False,2,True
349938730,0,False,2,True
352682894,0,False,1,True
355446396,0,False,0,False
360061899,0,True,1,True
363023211,0,False,0,False
367085912,0,False,0,False
370481857,0,False,0,False
414088384,0,False,1,True
370782888,0,False,0,False
372642277,0,True,1,True
383497790,0,True,1,True
385730139,0,False,0,False
388299145,0,True,1,True
390313701,0,False,1,True
394804521,0,False,1,True
398031595,0,False,1,True
404847650,0,True,1,True
410675268,0,False,1,True
430865498,0,False,1,True
435672310,0,True,1,True
439241065,1,False,1,True
443369296,0,False,1,True
449667016,0,False,0,False
12475,0,False,1,True
452983981,0,False,1,True
454984188,0,False,3,True
464662533,0,False,1,True
413363,0,True,1,True
469745106,0,False,1,True
471659802,0,False,1,True
494903792,0,False,0,False
500029201,1,False,1,True
523765406,0,False,0,False
1338,0,False,0,False
20894,0,False,0,False
42727,0,True,1,True
55956,0,False,2,True
147551,0,False,0,False
188210,0,False,0,False
536705383,0,True,1,True
237442,0,True,1,True
242726,1,False,1,True
245925,0,False,1,True
247889,0,False,0,False
251055,0,True,1,True
216703831,0,True,1,True
217247517,0,False,0,False
235790767,0,True,1,True
214085173,0,False,0,False
218814794,0,False,0,False
218269582,0,False,0,False
222948506,0,False,0,False
223560793,0,False,0,False
224164595,0,False,0,False
249139384,0,False,1,True
225298800,0,False,0,False
230407470,0,False,0,False
230924548,0,True,1,True
232725291,0,False,0,False
233866664,1,False,1,True
239831904,0,True,1,True
241545909,0,False,0,False
241979267,0,True,1,True
243076051,0,True,1,True
244884059,0,False,1,True
247654281,0,False,1,True
248512063,0,False,1,True
250931273,0,False,1,True
251831817,1,False,1,True
252596525,0,False,0,False
244578065,0,False,1,True
254701968,1,False,1,True
255017074,0,True,1,True
255955495,0,False,4,True
256966868,0,False,2,True
258120866,0,False,1,True
259100747,0,True,1,True
260061803,0,False,1,True
261858875,0,False,1,True
265239120,0,False,1,True
265681030,0,False,0,False
266690015,0,False,2,True
267191215,0,False,0,False
267858691,0,True,1,True
268289000,0,False,1,True
277201391,0,True,1,True
282062079,0,False,0,False
290020968,0,False,1,True
291259973,0,False,0,False
278793598,0,False,1,True
300066065,0,False,0,False
293016609,0,True,1,True
305588002,0,False,1,True
307602383,0,False,0,False
308239745,0,True,1,True
310434417,0,True,1,True
302837743,0,False,0,False
316086846,0,False,0,False
318760687,0,False,1,True
321147150,0,False,0,False
323749830,0,False,0,False
326474349,0,False,0,False
331876087,0,False,0,False
339577942,0,True,1,True
340912898,0,False,2,True
7100214,0,False,1,True
7623944,0,False,0,False
7996587,0,False,0,False
8788518,0,False,2,True
9762666,0,False,0,False
22825215,0,True,1,True
26379384,0,True,1,True
3070322,0,False,2,True
35865031,1,False,1,True
38972504,0,True,1,True
68487996,0,True,1,True
78327801,1,False,0,False
84586897,0,False,0,False
88990412,0,False,0,False
105897397,0,True,1,True
246421370,0,True,1,True
267101252,0,False,0,False
355150264,0,False,1,True
24472,0,False,1,True
44640,0,True,1,True
61468,0,True,1,True
173256,0,True,1,True
178260,0,True,1,True
190723,0,False,0,False
252111,0,False,1,True
273300,0,True,1,True
277953,0,False,0,False
199799,0,True,1,True
304320,0,True,1,True
319989,0,False,0,False
373871,0,True,1,True
402760,0,True,1,True
406119,0,False,0,False
419195,0,False,1,True
427649,0,False,2,True
446830,0,True,1,True
470226,0,False,3,True
495991,0,False,1,True
523199,0,False,1,True
555718,0,False,1,True
587053,0,True,1,True
640274,0,True,1,True
651084,0,True,1,True
664152,0,True,1,True
695409,0,False,2,True
720459,0,True,1,True
1577260,0,False,1,True
734719,0,False,1,True
748394,1,False,0,False
783503,0,True,1,True
793175,0,False,0,False
822652,0,False,0,False
824521,0,True,1,True
886726,0,False,2,True
888662,0,False,1,True
908182,0,False,1,True
956463,0,False,1,True
2032392,0,False,1,True
1035858,0,True,1,True
1054975,0,False,0,False
1082434,0,False,0,False
1120133,0,False,1,True
1141701,0,True,1,True
1183060,0,True,1,True
1310874,0,False,1,True
1339645,0,False,1,True
255276,1,True,1,True
268296,0,False,0,False
293650,0,False,1,True
305046,0,False,0,False
330597,0,True,1,True
216335,0,False,1,True
354864,1,False,1,True
452148,0,False,0,False
5566074,0,False,1,True
486090,0,False,0,False
494850,1,False,1,True
586978,0,False,1,True
2336071,0,False,0,False
333025,0,False,1,True
782743,0,False,1,True
834384,1,False,1,True
898072,0,True,1,True
919810,0,False,0,False
973949,0,True,1,True
987685,0,False,0,False
744386,0,False,1,True
1324163,0,True,1,True
1399559,0,True,1,True
1538849,0,True,1,True
1752533,0,True,1,True
1816639,0,False,1,True
1962773,0,True,1,True
1981614,0,False,0,False
2362547,0,False,0,False
2523814,0,False,0,False
2727712,0,False,1,True
2175582,0,False,1,True
3103299,0,False,2,True
5550791,0,True,1,True
6276459,0,False,0,False
10580371,0,True,1,True
11337899,1,False,2,True
12116258,0,False,3,True
12136560,1,False,1,True
12890056,0,True,1,True
14100711,0,True,1,True
9151978,0,True,1,True
17573713,0,False,0,False
18031449,0,False,1,True
19007891,0,False,0,False
40400804,1,True,1,True
49704010,0,True,1,True
52805352,0,False,1,True
55674162,0,False,0,False
60683319,0,True,1,True
107914401,0,True,1,True
125733094,1,True,1,True
136575833,0,False,1,True
216457583,0,False,1,True
221117033,0,True,1,True
105779,0,True,1,True
133633,0,False,0,False
133740,0,True,1,True
139468,0,False,1,True
157312,0,True,1,True
2569810,0,False,1,True
2643072,0,False,1,True
2697718,0,False,0,False
2735642,0,False,1,True
2810873,0,False,0,False
3478686,0,False,1,True
3672691,1,True,1,True
3791937,0,False,0,False
3827840,0,False,1,True
3845693,0,False,0,False
4361851,0,False,1,True
92333339,0,False,1,True
4585170,0,False,2,True
16972486,0,False,0,False
4677647,0,False,1,True
5025144,0,False,0,False
6370119,0,True,1,True
6449357,0,False,1,True
6551409,0,True,1,True
17399285,0,False,5,True
6693148,0,True,1,True
